minute,player_id,player_name,team_name,x,y,end_x,end_y,pass_recipient_id,pass_recipient_name,outcome_id,outcome_name
16,5503.0,Lionel Andrés Messi Cuccittini,Argentina,89.3,58.8,110.2,56.8,7797.0,Rodrigo Javier De Paul,,
16,7797.0,Rodrigo Javier De Paul,Argentina,110.2,56.8,106.4,45.5,5503.0,Lionel Andrés Messi Cuccittini,,
16,3099.0,Hugo Lloris,France,7.0,44.1,65.1,61.6,,,9.0,Incomplete
16,27886.0,Alexis Mac Allister,Argentina,55.0,18.5,82.4,27.1,,,9.0,Incomplete
16,5485.0,Raphaël Varane,France,27.4,54.3,26.6,38.9,8519.0,Dayotchanculle Upamecano,,
17,8519.0,Dayotchanculle Upamecano,France,26.6,38.7,28.1,54.1,5485.0,Raphaël Varane,,
17,5485.0,Raphaël Varane,France,38.5,59.8,63.8,77.4,5477.0,Ousmane Dembélé,,
17,5477.0,Ousmane Dembélé,France,68.7,65.0,62.7,51.9,3026.0,Adrien Rabiot,,
17,3026.0,Adrien Rabiot,France,56.7,47.4,70.8,8.5,6704.0,Theo Bernard François Hernández,,
17,6704.0,Theo Bernard François Hernández,France,73.2,8.5,83.7,4.9,3009.0,Kylian Mbappé Lottin,,
17,3009.0,Kylian Mbappé Lottin,France,81.8,5.1,68.9,7.7,6704.0,Theo Bernard François Hernández,,
17,6704.0,Theo Bernard François Hernández,France,57.6,7.4,45.0,14.3,8519.0,Dayotchanculle Upamecano,,
17,8519.0,Dayotchanculle Upamecano,France,45.0,18.1,42.6,51.9,5485.0,Raphaël Varane,,
17,5485.0,Raphaël Varane,France,57.6,60.1,55.9,74.8,4445.0,Jules Koundé,,
17,4445.0,Jules Koundé,France,53.7,75.9,68.9,77.0,5477.0,Ousmane Dembélé,,
17,5477.0,Ousmane Dembélé,France,70.6,77.6,75.8,71.4,4445.0,Jules Koundé,,
17,4445.0,Jules Koundé,France,75.8,71.4,92.9,77.6,5477.0,Ousmane Dembélé,,
17,5477.0,Ousmane Dembélé,France,103.1,78.2,105.3,74.8,,,9.0,Incomplete
17,4445.0,Jules Koundé,France,100.1,80.0,74.5,61.8,5485.0,Raphaël Varane,,
18,5485.0,Raphaël Varane,France,74.9,59.0,69.1,41.9,8519.0,Dayotchanculle Upamecano,,
18,8519.0,Dayotchanculle Upamecano,France,70.2,34.2,85.2,5.3,6704.0,Theo Bernard François Hernández,,
18,6704.0,Theo Bernard François Hernández,France,85.4,5.3,86.7,14.1,3009.0,Kylian Mbappé Lottin,,
18,3009.0,Kylian Mbappé Lottin,France,86.7,14.1,103.6,7.9,6704.0,Theo Bernard François Hernández,,
19,5487.0,Antoine Griezmann,France,112.3,13.4,114.1,43.4,,,77.0,Unknown
19,6909.0,Damián Emiliano Martínez,Argentina,4.3,36.3,8.6,47.8,20572.0,Cristian Gabriel Romero,,
19,20572.0,Cristian Gabriel Romero,Argentina,14.6,49.1,29.6,47.8,38718.0,Enzo Fernandez,,
19,38718.0,Enzo Fernandez,Argentina,31.7,48.5,25.5,24.3,3090.0,Nicolás Hernán Otamendi,,
19,3090.0,Nicolás Hernán Otamendi,Argentina,29.4,22.8,42.4,5.3,5507.0,Nicolás Alejandro Tagliafico,,
19,5507.0,Nicolás Alejandro Tagliafico,Argentina,42.0,6.1,32.8,17.7,3090.0,Nicolás Hernán Otamendi,,
19,3090.0,Nicolás Hernán Otamendi,Argentina,32.4,20.3,30.0,47.8,20572.0,Cristian Gabriel Romero,,
19,20572.0,Cristian Gabriel Romero,Argentina,33.4,51.3,45.4,51.5,7797.0,Rodrigo Javier De Paul,,
19,7797.0,Rodrigo Javier De Paul,Argentina,45.0,52.3,33.6,54.5,20572.0,Cristian Gabriel Romero,,
19,20572.0,Cristian Gabriel Romero,Argentina,33.4,56.8,48.6,74.8,29201.0,Nahuel Molina Lucero,,
19,29201.0,Nahuel Molina Lucero,Argentina,50.1,75.2,41.6,62.4,7797.0,Rodrigo Javier De Paul,,
19,7797.0,Rodrigo Javier De Paul,Argentina,41.3,62.0,40.1,23.7,3090.0,Nicolás Hernán Otamendi,,
19,3090.0,Nicolás Hernán Otamendi,Argentina,61.9,19.8,65.9,1.9,2995.0,Ángel Fabián Di María Hernández,,
19,2995.0,Ángel Fabián Di María Hernández,Argentina,65.5,2.5,51.2,14.5,3090.0,Nicolás Hernán Otamendi,,
20,3090.0,Nicolás Hernán Otamendi,Argentina,48.4,14.7,39.2,40.1,20572.0,Cristian Gabriel Romero,,
20,20572.0,Cristian Gabriel Romero,Argentina,40.9,47.2,49.9,48.3,7797.0,Rodrigo Javier De Paul,,
20,7797.0,Rodrigo Javier De Paul,Argentina,49.9,48.3,39.6,47.0,20572.0,Cristian Gabriel Romero,,
20,20572.0,Cristian Gabriel Romero,Argentina,39.8,46.6,45.2,26.5,3090.0,Nicolás Hernán Otamendi,,
20,3090.0,Nicolás Hernán Otamendi,Argentina,49.3,22.8,54.8,32.9,38718.0,Enzo Fernandez,,
20,38718.0,Enzo Fernandez,Argentina,56.1,33.9,71.1,56.4,5503.0,Lionel Andrés Messi Cuccittini,,
20,5503.0,Lionel Andrés Messi Cuccittini,Argentina,89.5,65.0,99.5,74.6,29201.0,Nahuel Molina Lucero,,
20,29201.0,Nahuel Molina Lucero,Argentina,94.4,74.8,74.5,69.7,7797.0,Rodrigo Javier De Paul,,
20,7797.0,Rodrigo Javier De Paul,Argentina,73.9,68.2,65.9,33.9,3090.0,Nicolás Hernán Otamendi,,
20,3090.0,Nicolás Hernán Otamendi,Argentina,65.9,32.0,74.7,33.3,38718.0,Enzo Fernandez,,
20,38718.0,Enzo Fernandez,Argentina,74.7,33.3,64.9,30.9,3090.0,Nicolás Hernán Otamendi,,
20,3090.0,Nicolás Hernán Otamendi,Argentina,64.2,32.2,68.5,23.0,38718.0,Enzo Fernandez,,
20,38718.0,Enzo Fernandez,Argentina,68.7,22.6,54.8,41.6,20572.0,Cristian Gabriel Romero,,
20,20572.0,Cristian Gabriel Romero,Argentina,54.6,46.1,56.7,64.7,7797.0,Rodrigo Javier De Paul,,
20,7797.0,Rodrigo Javier De Paul,Argentina,57.0,64.5,69.6,53.8,38718.0,Enzo Fernandez,,
20,27886.0,Alexis Mac Allister,Argentina,92.0,35.2,94.2,47.0,29560.0,Julián Álvarez,,
20,29560.0,Julián Álvarez,Argentina,94.2,47.0,112.6,11.5,2995.0,Ángel Fabián Di María Hernández,,
23,3604.0,Olivier Giroud,France,61.0,40.1,52.9,38.0,3026.0,Adrien Rabiot,,
23,3026.0,Adrien Rabiot,France,55.0,34.2,46.9,44.4,10481.0,Aurélien Djani Tchouaméni,,
